Cable ID,Injected,Failed,Age_at_first_Fault,1km bins 
868,0,0,0,0-1000
869,0,0,0,1000-2000
870,0,0,0,2000-3000
871,0,0,0,0-1000
872,0,0,0,0-1000
873,0,0,0,0-1000
874,0,0,0,1000-2000
875,0,0,0,0-1000
876,0,0,0,0-1000
877,0,0,0,5000-max
878,0,0,0,0-1000
879,0,0,0,0-1000
880,0,0,0,0-1000
881,0,0,0,5000-max
882,0,0,0,0-1000
883,0,0,0,0-1000
884,0,0,0,0-1000
885,0,0,0,5000-max
886,0,0,0,0-1000
887,0,0,0,0-1000
888,0,0,0,0-1000
889,0,0,0,0-1000
890,0,0,0,0-1000
891,0,1,22,1000-2000
892,0,0,0,0-1000
893,0,0,0,2000-3000
894,0,0,0,0-1000
895,0,0,0,0-1000
896,0,0,0,0-1000
897,0,0,0,0-1000
898,0,0,0,0-1000
899,0,0,0,0-1000
900,0,0,0,1000-2000
901,0,0,0,1000-2000
902,0,0,0,0-1000
903,0,0,0,1000-2000
904,0,0,0,0-1000
905,0,0,0,0-1000
906,0,0,0,1000-2000
907,0,0,0,3000-4000
908,0,0,0,0-1000
909,1,1,38,0-1000
910,0,0,0,1000-2000
911,0,0,0,0-1000
912,0,0,0,0-1000
913,0,0,0,0-1000
914,0,0,0,0-1000
915,0,0,0,3000-4000
916,0,0,0,4000-5000
917,0,0,0,0-1000
918,0,0,0,1000-2000
919,0,0,0,1000-2000
920,0,0,0,3000-4000
921,0,0,0,0-1000
922,0,0,0,0-1000
923,0,0,0,0-1000
924,0,0,0,3000-4000
925,0,0,0,0-1000
926,1,0,0,1000-2000
927,0,0,0,0-1000
928,0,0,0,2000-3000
929,0,0,0,3000-4000
930,0,0,0,0-1000
931,0,0,0,1000-2000
932,0,0,0,1000-2000
933,0,0,0,0-1000
934,0,0,0,0-1000
935,0,0,0,0-1000
936,0,0,0,0-1000
937,0,0,0,0-1000
938,0,0,0,0-1000
939,0,0,0,0-1000
940,0,0,0,0-1000
941,0,0,0,0-1000
942,0,0,0,0-1000
943,0,0,0,1000-2000
944,0,0,0,0-1000
945,0,0,0,0-1000
946,0,0,0,0-1000
947,1,1,34,1000-2000
948,0,0,0,5000-max
949,0,0,0,0-1000
950,1,1,36,2000-3000
951,0,0,0,0-1000
952,0,0,0,0-1000
953,0,0,0,0-1000
954,0,0,0,0-1000
955,0,0,0,0-1000
956,0,0,0,0-1000
957,0,1,2,5000-max
958,0,0,0,0-1000
959,0,0,0,0-1000
960,0,0,0,1000-2000
961,1,1,19,0-1000
962,0,0,0,0-1000
963,0,0,0,0-1000
964,0,0,0,2000-3000
965,0,0,0,0-1000
966,0,0,0,0-1000
967,0,0,0,0-1000
968,0,0,0,0-1000
969,0,0,0,0-1000
970,0,0,0,0-1000
971,0,0,0,1000-2000
972,1,0,0,0-1000
973,0,0,0,0-1000
974,0,0,0,0-1000
975,0,0,0,1000-2000
976,0,0,0,0-1000
977,0,0,0,5000-max
978,0,0,0,0-1000
979,0,0,0,0-1000
980,0,0,0,3000-4000
981,0,0,0,0-1000
982,0,0,0,0-1000
983,0,0,0,0-1000
984,0,0,0,1000-2000
985,0,0,0,0-1000
986,0,0,0,0-1000
987,0,0,0,0-1000
988,0,0,0,0-1000
989,0,0,0,0-1000
990,0,0,0,0-1000
991,0,0,0,0-1000
992,0,0,0,0-1000
993,0,0,0,1000-2000
994,0,0,0,0-1000
995,0,0,0,0-1000
996,0,0,0,0-1000
997,0,0,0,5000-max
998,0,0,0,0-1000
999,0,0,0,0-1000
1000,0,0,0,0-1000
1001,0,0,0,0-1000
1002,0,0,0,0-1000
1003,1,0,0,0-1000
1004,0,0,0,0-1000
1005,0,0,0,0-1000
1006,0,0,0,0-1000
1007,0,0,0,0-1000
1008,0,0,0,0-1000
1009,0,0,0,0-1000
1010,0,0,0,0-1000
1011,0,0,0,1000-2000
1012,0,0,0,2000-3000
1013,0,0,0,0-1000
1014,0,0,0,0-1000
1015,0,0,0,0-1000
1016,0,0,0,0-1000
1017,0,0,0,0-1000
1018,0,0,0,0-1000
1019,0,0,0,0-1000
1020,0,1,45,0-1000
1021,0,0,0,0-1000
1022,0,0,0,0-1000
1023,0,0,0,1000-2000
1024,0,0,0,0-1000
1025,0,0,0,0-1000
1026,0,0,0,0-1000
1027,0,0,0,0-1000
1028,0,0,0,0-1000
1029,0,0,0,0-1000
1030,0,0,0,0-1000
1031,1,1,34,0-1000
1032,0,0,0,0-1000
1033,0,0,0,0-1000
1034,0,0,0,0-1000
1035,0,0,0,0-1000
1036,0,0,0,0-1000
1037,1,0,0,1000-2000
1038,0,0,0,5000-max
1039,0,0,0,0-1000
1040,0,0,0,5000-max
1041,0,0,0,0-1000
1042,1,0,0,1000-2000
1043,0,0,0,5000-max
